crime,neighborhood,count
LARCENY-NON VEHICLE,Colonial Homes,17
ROBBERY-RESIDENCE,Adamsville,17
ROBBERY-COMMERCIAL,Poncey-Highland,17
ROBBERY-PEDESTRIAN,Mays,17
AUTO THEFT,Randall Mill,17
ROBBERY-COMMERCIAL,Vine City,17
ROBBERY-PEDESTRIAN,Blair Villa/Poole Creek,17
ROBBERY-RESIDENCE,Carey Park,17
HOMICIDE,Glenrose Heights,16
ROBBERY-COMMERCIAL,Westview,16
ROBBERY-RESIDENCE,The Villages at Carver,16
RAPE,Sylvan Hills,16
BURGLARY-RESIDENCE,Fairburn Road/Wisteria Lane,16
AGG ASSAULT,Fairway Acres,16
AGG ASSAULT,Ben Hill Pines,16
BURGLARY-RESIDENCE,Hanover West,16
LARCENY-NON VEHICLE,Meadowbrook Forest,16
LARCENY-FROM VEHICLE,Audobon Forest West,16
LARCENY-NON VEHICLE,Ben Hill Pines,16
RAPE,Pine Hills,16
BURGLARY-NONRES,Leila Valley,16
RAPE,Lakewood Heights,16
AGG ASSAULT,Elmco Estates,16
ROBBERY-RESIDENCE,Old Gordon,16
AUTO THEFT,Ridgecrest Forest,16
BURGLARY-NONRES,Almond Park,16
LARCENY-FROM VEHICLE,Ivan Hill,16
BURGLARY-RESIDENCE,Randall Mill,16
ROBBERY-COMMERCIAL,Ormewood Park,16
BURGLARY-RESIDENCE,Castlewood,16
BURGLARY-NONRES,Chastain Park,16
BURGLARY-RESIDENCE,Mt. Gilead Woods,15
BURGLARY-RESIDENCE,Ivan Hill,15
ROBBERY-RESIDENCE,Almond Park,15
BURGLARY-RESIDENCE,Brookview Heights,15
BURGLARY-RESIDENCE,Chalet Woods,15
LARCENY-FROM VEHICLE,Argonne Forest,15
LARCENY-FROM VEHICLE,Fairway Acres,15
LARCENY-FROM VEHICLE,Ben Hill Pines,15
ROBBERY-PEDESTRIAN,Woodland Hills,15
ROBBERY-COMMERCIAL,Wildwood (NPU-C),15
AGG ASSAULT,Heritage Valley,15
AUTO THEFT,West Paces Ferry/Northside,15
ROBBERY-PEDESTRIAN,Ashley Courts,15
RAPE,North Buckhead,15
AUTO THEFT,Briar Glen,15
BURGLARY-NONRES,Carroll Heights,15
HOMICIDE,Mechanicsville,15
RAPE,Campbellton Road,15
LARCENY-FROM VEHICLE,Ridgecrest Forest,15
BURGLARY-NONRES,Druid Hills,15
ROBBERY-RESIDENCE,Washington Park,15
ROBBERY-RESIDENCE,Hunter Hills,15
AUTO THEFT,Oakcliff,14
LARCENY-FROM VEHICLE,Whitewater Creek,14
ROBBERY-RESIDENCE,The Villages at Castleberry H,14
LARCENY-FROM VEHICLE,Hanover West,14
LARCENY-FROM VEHICLE,Wesley Battle,14
ROBBERY-COMMERCIAL,Atlantic Station,14
BURGLARY-RESIDENCE,Atkins Park,14
AGG ASSAULT,Cross Creek,14
ROBBERY-RESIDENCE,Bolton,14
BURGLARY-RESIDENCE,Ardmore,14
AUTO THEFT,Butner/Tell,14
ROBBERY-RESIDENCE,Chosewood Park,14
ROBBERY-PEDESTRIAN,Lincoln Homes,14
LARCENY-NON VEHICLE,Ridgewood Heights,14
ROBBERY-RESIDENCE,Dixie Hills,14
AUTO THEFT,Ben Hill Pines,14
AUTO THEFT,Audobon Forest West,14
ROBBERY-PEDESTRIAN,Wildwood (NPU-C),14
BURGLARY-NONRES,Joyland,14
LARCENY-FROM VEHICLE,Greenbriar Village,14
ROBBERY-COMMERCIAL,Browns Mill Park,14
AUTO THEFT,Fairburn Road/Wisteria Lane,14
ROBBERY-RESIDENCE,Lindridge/Martin Manor,14
BURGLARY-RESIDENCE,Collier Hills North,14
ROBBERY-PEDESTRIAN,Cascade Heights,14
ROBBERY-COMMERCIAL,Capitol View,14
ROBBERY-COMMERCIAL,Mechanicsville,14
AUTO THEFT,Harvel Homes Community,14
ROBBERY-RESIDENCE,Scotts Crossing,14
ROBBERY-COMMERCIAL,Adair Park,14
BURGLARY-NONRES,Capitol View Manor,14
ROBBERY-RESIDENCE,South River Gardens,14
AUTO THEFT,Peachtree Heights East,14
BURGLARY-RESIDENCE,Argonne Forest,14
LARCENY-NON VEHICLE,Fairburn Tell,13
LARCENY-NON VEHICLE,Just Us,13
LARCENY-NON VEHICLE,Greenbriar Village,13
LARCENY-NON VEHICLE,Pomona Park,13
ROBBERY-COMMERCIAL,Collier Heights,13
AGG ASSAULT,Cabbagetown,13
RAPE,Hammond Park,13
RAPE,Westview,13
ROBBERY-PEDESTRIAN,Capitol View Manor,13
LARCENY-NON VEHICLE,Audobon Forest West,13
ROBBERY-PEDESTRIAN,Peachtree Park,13
ROBBERY-COMMERCIAL,South River Gardens,13
ROBBERY-RESIDENCE,Harland Terrace,13
LARCENY-FROM VEHICLE,Harvel Homes Community,13
ROBBERY-COMMERCIAL,Riverside,13
AUTO THEFT,Audobon Forest,13
ROBBERY-RESIDENCE,Kirkwood,13
ROBBERY-RESIDENCE,Atlanta University Center,13
ROBBERY-COMMERCIAL,Princeton Lakes,13
ROBBERY-COMMERCIAL,Peoplestown,13
ROBBERY-RESIDENCE,Ormewood Park,13
ROBBERY-PEDESTRIAN,Amal Heights,13
ROBBERY-PEDESTRIAN,Arlington Estates,13
AGG ASSAULT,Brookwood,13
LARCENY-FROM VEHICLE,Brentwood,13
AGG ASSAULT,Ridgecrest Forest,13
ROBBERY-PEDESTRIAN,Buckhead Heights,13
ROBBERY-COMMERCIAL,Venetian Hills,13
BURGLARY-RESIDENCE,Fairburn Tell,13
ROBBERY-PEDESTRIAN,Brookwood,13
ROBBERY-RESIDENCE,Fort Valley,13
BURGLARY-RESIDENCE,Meadowbrook Forest,13
HOMICIDE,Sylvan Hills,13
ROBBERY-RESIDENCE,Sweet Auburn,13
ROBBERY-PEDESTRIAN,English Park,13
ROBBERY-COMMERCIAL,Bankhead,12
ROBBERY-RESIDENCE,Ben Hill,12
RAPE,Southwest,12
RAPE,Collier Heights,12
LARCENY-NON VEHICLE,Collier Hills,12
AUTO THEFT,Brandon,12
ROBBERY-RESIDENCE,Ashley Courts,12
BURGLARY-NONRES,Westhaven,12
RAPE,Center Hill,12
ROBBERY-RESIDENCE,Adams Park,12
HOMICIDE,Venetian Hills,12
HOMICIDE,Thomasville Heights,12
ROBBERY-PEDESTRIAN,Ben Hill Acres,12
HOMICIDE,Southwest,12
BURGLARY-RESIDENCE,Just Us,12
ROBBERY-PEDESTRIAN,Boulevard Heights,12
ROBBERY-PEDESTRIAN,Cross Creek,12
LARCENY-NON VEHICLE,Magnum Manor,12
ROBBERY-RESIDENCE,Center Hill,12
LARCENY-FROM VEHICLE,Collier Hills North,12
RAPE,Sweet Auburn,12
BURGLARY-NONRES,Atlanta Industrial Park,12
ROBBERY-PEDESTRIAN,Oakland,12
BURGLARY-NONRES,Boulevard Heights,12
ROBBERY-COMMERCIAL,Garden Hills,12
AGG ASSAULT,Rockdale,12
ROBBERY-COMMERCIAL,Center Hill,12
ROBBERY-COMMERCIAL,Home Park,12
ROBBERY-RESIDENCE,South Atlanta,12
ROBBERY-RESIDENCE,Rosedale Heights,12
LARCENY-NON VEHICLE,Boulder Park,12
BURGLARY-NONRES,Randall Mill,12
ROBBERY-COMMERCIAL,Marietta Street Artery,12
ROBBERY-COMMERCIAL,Morningside/Lenox Park,12
ROBBERY-RESIDENCE,Edgewood,12
LARCENY-FROM VEHICLE,East Ardley Road,12
BURGLARY-RESIDENCE,Peachtree Heights East,12
AUTO THEFT,Peachtree Battle Alliance,12
ROBBERY-RESIDENCE,Morningside/Lenox Park,12
HOMICIDE,Oakland City,12
RAPE,Bankhead,12
BURGLARY-RESIDENCE,Whitewater Creek,12
ROBBERY-RESIDENCE,Loring Heights,12
ROBBERY-PEDESTRIAN,Rebel Valley Forest,11
LARCENY-NON VEHICLE,Kingswood,11
BURGLARY-RESIDENCE,Mellwood,11
AUTO THEFT,Mt. Gilead Woods,11
AGG ASSAULT,Beecher Hills,11
HOMICIDE,Carey Park,11
BURGLARY-RESIDENCE,Lake Estates,11
BURGLARY-NONRES,The Villages at Castleberry H,11
BURGLARY-RESIDENCE,Fernleaf,11
AUTO THEFT,Ridgewood Heights,11
BURGLARY-NONRES,Ben Hill,11
BURGLARY-NONRES,Ben Hill Acres,11
BURGLARY-NONRES,Betmar LaVilla,11
ROBBERY-RESIDENCE,Princeton Lakes,11
ROBBERY-RESIDENCE,Piedmont Heights,11
BURGLARY-NONRES,Harris Chiles,11
RAPE,Atlanta University Center,11
BURGLARY-NONRES,Paces,11
ROBBERY-RESIDENCE,Custer/McDonough/Guice,11
ROBBERY-RESIDENCE,Castleberry Hill,11
BURGLARY-NONRES,Rosedale Heights,11
AGG ASSAULT,Deerwood,11
ROBBERY-RESIDENCE,Blandtown,11
ROBBERY-RESIDENCE,Adair Park,11
ROBBERY-PEDESTRIAN,Westwood Terrace,11
RAPE,South River Gardens,11
BURGLARY-NONRES,Ashley Courts,11
LARCENY-FROM VEHICLE,Pleasant Hill,11
ROBBERY-COMMERCIAL,Castleberry Hill,11
LARCENY-NON VEHICLE,Chalet Woods,11
RAPE,Thomasville Heights,11
ROBBERY-PEDESTRIAN,Elmco Estates,11
ROBBERY-COMMERCIAL,West Paces Ferry/Northside,11
AUTO THEFT,Atkins Park,11
AGG ASSAULT,Ben Hill Acres,11
ROBBERY-COMMERCIAL,Blandtown,11
HOMICIDE,Peoplestown,11
LARCENY-NON VEHICLE,Fairburn Road/Wisteria Lane,11
AUTO THEFT,Collier Hills,10
AUTO THEFT,Bolton Hills,10
AUTO THEFT,Cascade Green,10
BURGLARY-NONRES,Wisteria Gardens,10
AUTO THEFT,Wildwood Forest,10
HOMICIDE,Vine City,10
AUTO THEFT,Wesley Battle,10
LARCENY-NON VEHICLE,Oakcliff,10
ROBBERY-COMMERCIAL,Ben Hill Acres,10
HOMICIDE,Center Hill,10
LARCENY-NON VEHICLE,Cascade Green,10
RAPE,Grant Park,10
ROBBERY-RESIDENCE,Cascade Avenue/Road,10
AUTO THEFT,Bankhead Courts,10
LARCENY-NON VEHICLE,Sandlewood Estates,10
ROBBERY-RESIDENCE,Florida Heights,10
LARCENY-FROM VEHICLE,Green Acres Valley,10
ROBBERY-COMMERCIAL,Buckhead Village,10
LARCENY-FROM VEHICLE,Just Us,10
BURGLARY-NONRES,Buckhead Heights,10
AGG ASSAULT,Peyton Forest,10
LARCENY-NON VEHICLE,Wesley Battle,10
ROBBERY-COMMERCIAL,East Chastain Park,10
LARCENY-NON VEHICLE,Arden/Habersham,10
ROBBERY-RESIDENCE,Westhaven,10
LARCENY-NON VEHICLE,Westminster/Milmar,10
ROBBERY-PEDESTRIAN,Ben Hill Terrace,10
HOMICIDE,Adair Park,10
HOMICIDE,Kirkwood,10
LARCENY-NON VEHICLE,Ivan Hill,10
BURGLARY-RESIDENCE,Horseshoe Community,10
HOMICIDE,Midtown,10
BURGLARY-RESIDENCE,Green Acres Valley,10
ROBBERY-PEDESTRIAN,Lake Claire,10
AGG ASSAULT,Boulevard Heights,10
HOMICIDE,Collier Heights,10
BURGLARY-NONRES,Old Gordon,9
HOMICIDE,South River Gardens,9
ROBBERY-COMMERCIAL,Reynoldstown,9
ROBBERY-COMMERCIAL,Underwood Hills,9
AGG ASSAULT,Midwest Cascade,9
LARCENY-NON VEHICLE,Laurens Valley,9
BURGLARY-RESIDENCE,Tampa Park,9
LARCENY-NON VEHICLE,Sherwood Forest,9
AUTO THEFT,East Ardley Road,9
AUTO THEFT,Rue Royal,9
LARCENY-FROM VEHICLE,Oakcliff,9
BURGLARY-RESIDENCE,Wyngate,9
AGG ASSAULT,West Manor,9
AUTO THEFT,Green Forest Acres,9
ROBBERY-RESIDENCE,Reynoldstown,9
HOMICIDE,East Atlanta,9
LARCENY-NON VEHICLE,Bankhead Courts,9
AGG ASSAULT,Pomona Park,9
ROBBERY-RESIDENCE,West Highlands,9
HOMICIDE,Capitol View,9
AGG ASSAULT,Paces,9
ROBBERY-PEDESTRIAN,Fairburn,9
LARCENY-FROM VEHICLE,Fairburn Road/Wisteria Lane,9
RAPE,Edgewood,9
BURGLARY-NONRES,The Villages at East Lake,9
LARCENY-NON VEHICLE,Georgia Tech,9
LARCENY-NON VEHICLE,Memorial Park,9
ROBBERY-PEDESTRIAN,Baker Hills,9
BURGLARY-RESIDENCE,Arden/Habersham,9
RAPE,Dixie Hills,9
AUTO THEFT,Tampa Park,9
ROBBERY-PEDESTRIAN,Deerwood,9
AUTO THEFT,Magnum Manor,9
AUTO THEFT,Boulder Park,9
AUTO THEFT,Springlake,9
ROBBERY-RESIDENCE,Capitol View,9
RAPE,Kirkwood,9
BURGLARY-RESIDENCE,Regency Trace,9
RAPE,Glenrose Heights,9
LARCENY-FROM VEHICLE,Bakers Ferry,9
RAPE,Summerhill,8
ROBBERY-PEDESTRIAN,Whittier Mill Village,8
ROBBERY-RESIDENCE,The Villages at East Lake,8
ROBBERY-PEDESTRIAN,Knight Park/Howell Station,8
ROBBERY-COMMERCIAL,Hunter Hills,8
ROBBERY-RESIDENCE,Summerhill,8
ROBBERY-PEDESTRIAN,West Paces Ferry/Northside,8
RAPE,Perkerson,8
ROBBERY-RESIDENCE,Carroll Heights,8
ROBBERY-RESIDENCE,Atlantic Station,8
ROBBERY-PEDESTRIAN,Pomona Park,8
RAPE,Browns Mill Park,8
RAPE,Carey Park,8
ROBBERY-COMMERCIAL,Bolton,8
ROBBERY-PEDESTRIAN,Sandlewood Estates,8
ROBBERY-COMMERCIAL,Summerhill,8
ROBBERY-COMMERCIAL,Virginia Highland,8
RAPE,Adair Park,8
ROBBERY-COMMERCIAL,Peachtree Heights West,8
ROBBERY-COMMERCIAL,South Atlanta,8
ROBBERY-RESIDENCE,Harris Chiles,8
ROBBERY-RESIDENCE,Home Park,8
ROBBERY-COMMERCIAL,Buckhead Forest,8
ROBBERY-PEDESTRIAN,Georgia Tech,8
RAPE,Oakland City,8
AGG ASSAULT,Bolton Hills,8
AGG ASSAULT,Meadowbrook Forest,8
LARCENY-NON VEHICLE,Green Acres Valley,8
LARCENY-FROM VEHICLE,Wildwood Forest,8
BURGLARY-NONRES,Mays,8
AUTO THEFT,Bakers Ferry,8
HOMICIDE,Dixie Hills,8
LARCENY-FROM VEHICLE,Tampa Park,8
HOMICIDE,Castleberry Hill,8
BURGLARY-NONRES,Peyton Forest,8
AGG ASSAULT,Sandlewood Estates,8
HOMICIDE,Atlanta University Center,8
AGG ASSAULT,Greenbriar Village,8
AUTO THEFT,Tuxedo Park,8
HOMICIDE,Almond Park,8
BURGLARY-RESIDENCE,Woodfield,8
AUTO THEFT,Niskey Lake,8
BURGLARY-RESIDENCE,Westover Plantation,8
AUTO THEFT,Laurens Valley,8
HOMICIDE,Greenbriar,8
AUTO THEFT,Greenbriar Village,8
LARCENY-NON VEHICLE,Argonne Forest,8
LARCENY-FROM VEHICLE,Butner/Tell,8
BURGLARY-NONRES,Elmco Estates,8
LARCENY-NON VEHICLE,Niskey Lake,8
BURGLARY-NONRES,Cascade Heights,8
ROBBERY-PEDESTRIAN,Fort McPherson,7
ROBBERY-PEDESTRIAN,Brookwood Hills,7
ROBBERY-PEDESTRIAN,Beecher Hills,7
RAPE,Carroll Heights,7
RAPE,Home Park,7
HOMICIDE,Sweet Auburn,7
AGG ASSAULT,Buckhead Heights,7
RAPE,Castleberry Hill,7
HOMICIDE,Perkerson,7
LARCENY-NON VEHICLE,Mt. Gilead Woods,7
HOMICIDE,Ashview Heights,7
AGG ASSAULT,Bakers Ferry,7
ROBBERY-PEDESTRIAN,Paces,7
LARCENY-NON VEHICLE,Niskey Cove,7
ROBBERY-PEDESTRIAN,Channing Valley,7
ROBBERY-COMMERCIAL,Randall Mill,7
AGG ASSAULT,Fairburn Road/Wisteria Lane,7
HOMICIDE,Mozley Park,7
RAPE,Lindridge/Martin Manor,7
LARCENY-FROM VEHICLE,Bolton Hills,7
AGG ASSAULT,Wildwood (NPU-C),7
HOMICIDE,Hammond Park,7
AUTO THEFT,Brentwood,7
AUTO THEFT,Chalet Woods,7
RAPE,Capitol View,7
RAPE,Adams Park,7
ROBBERY-RESIDENCE,Kings Forest,7
ROBBERY-RESIDENCE,Mays,7
BURGLARY-NONRES,Fort Valley,7
ROBBERY-RESIDENCE,Mozley Park,7
BURGLARY-NONRES,Fairburn Tell,7
AGG ASSAULT,Oakcliff,7
BURGLARY-NONRES,Channing Valley,7
BURGLARY-NONRES,Midwest Cascade,7
BURGLARY-NONRES,Capitol Gateway,7
RAPE,Peoplestown,7
BURGLARY-NONRES,Ben Hill Terrace,7
LARCENY-NON VEHICLE,Wildwood Forest,7
BURGLARY-NONRES,Bankhead/Bolton,7
ROBBERY-COMMERCIAL,Brookwood Hills,7
RAPE,Atlantic Station,7
AGG ASSAULT,Peachtree Hills,7
LARCENY-NON VEHICLE,Rue Royal,7
RAPE,Mozley Park,7
AGG ASSAULT,Ansley Park,7
LARCENY-FROM VEHICLE,Rue Royal,7
ROBBERY-RESIDENCE,Benteen Park,7
AGG ASSAULT,Tuxedo Park,7
BURGLARY-NONRES,Wilson Mill Meadows,7
BURGLARY-NONRES,Monroe Heights,7
LARCENY-FROM VEHICLE,Niskey Cove,7
ROBBERY-COMMERCIAL,Candler Park,6
LARCENY-NON VEHICLE,Castlewood,6
LARCENY-FROM VEHICLE,Lake Estates,6
AGG ASSAULT,West Paces Ferry/Northside,6
AGG ASSAULT,Woodland Hills,6
ROBBERY-COMMERCIAL,Loring Heights,6
AUTO THEFT,Castlewood,6
AGG ASSAULT,Rue Royal,6
ROBBERY-COMMERCIAL,Washington Park,6
AUTO THEFT,Argonne Forest,6
LARCENY-FROM VEHICLE,Fernleaf,6
AUTO THEFT,Collier Hills North,6
ROBBERY-COMMERCIAL,Peachtree Park,6
LARCENY-NON VEHICLE,Westover Plantation,6
HOMICIDE,Westview,6
ROBBERY-RESIDENCE,Inman Park,6
BURGLARY-NONRES,Wyngate,6
BURGLARY-NONRES,Whittier Mill Village,6
BURGLARY-NONRES,Rockdale,6
BURGLARY-NONRES,Rebel Valley Forest,6
BURGLARY-NONRES,Penelope Neighbors,6
ROBBERY-RESIDENCE,East Lake,6
ROBBERY-RESIDENCE,Marietta Street Artery,6
BURGLARY-RESIDENCE,East Ardley Road,6
ROBBERY-RESIDENCE,Midwest Cascade,6
ROBBERY-RESIDENCE,Orchard Knob,6
BURGLARY-NONRES,Bush Mountain,6
ROBBERY-RESIDENCE,Swallow Circle/Baywood,6
ROBBERY-RESIDENCE,West Lake,6
ROBBERY-RESIDENCE,Wilson Mill Meadows,6
AUTO THEFT,Whitewater Creek,6
BURGLARY-RESIDENCE,Harvel Homes Community,6
ROBBERY-PEDESTRIAN,Ben Hill Pines,6
ROBBERY-PEDESTRIAN,Just Us,6
ROBBERY-PEDESTRIAN,Bush Mountain,6
LARCENY-NON VEHICLE,Whitewater Creek,6
AGG ASSAULT,Brentwood,6
HOMICIDE,Hunter Hills,6
ROBBERY-PEDESTRIAN,High Point,6
ROBBERY-PEDESTRIAN,Hills Park,6
HOMICIDE,Custer/McDonough/Guice,6
AGG ASSAULT,Ardmore,6
RAPE,South Atlanta,6
HOMICIDE,Cascade Avenue/Road,6
HOMICIDE,Adamsville,6
AUTO THEFT,Green Acres Valley,6
AGG ASSAULT,Atlanta Industrial Park,6
AUTO THEFT,Margaret Mitchell,6
HOMICIDE,Chosewood Park,6
AGG ASSAULT,Briar Glen,6
AGG ASSAULT,East Chastain Park,6
AGG ASSAULT,Fort McPherson,6
RAPE,Penelope Neighbors,6
RAPE,Greenbriar,6
RAPE,Capitol Gateway,6
LARCENY-NON VEHICLE,Lake Estates,6
AGG ASSAULT,Green Forest Acres,6
RAPE,Inman Park,6
LARCENY-NON VEHICLE,Huntington,6
RAPE,Adamsville,6
RAPE,Ashview Heights,6
AGG ASSAULT,Georgia Tech,6
RAPE,Almond Park,5
HOMICIDE,Old Gordon,5
BURGLARY-NONRES,Fairburn,5
HOMICIDE,Morningside/Lenox Park,5
RAPE,Florida Heights,5
ROBBERY-RESIDENCE,Monroe Heights,5
ROBBERY-RESIDENCE,Underwood Hills,5
BURGLARY-NONRES,Beecher Hills,5
AGG ASSAULT,Peachtree Heights East,5
HOMICIDE,Harland Terrace,5
ROBBERY-RESIDENCE,Leila Valley,5
HOMICIDE,Fairburn Mays,5
LARCENY-FROM VEHICLE,Horseshoe Community,5
BURGLARY-NONRES,Ansley Park,5
ROBBERY-RESIDENCE,Lakewood,5
ROBBERY-RESIDENCE,Lake Claire,5
LARCENY-NON VEHICLE,Brentwood,5
RAPE,East Atlanta,5
ROBBERY-COMMERCIAL,South Tuxedo Park,5
ROBBERY-COMMERCIAL,Southwest,5
ROBBERY-COMMERCIAL,West Lake,5
ROBBERY-RESIDENCE,Polar Rock,5
ROBBERY-RESIDENCE,Riverside,5
ROBBERY-COMMERCIAL,Orchard Knob,5
ROBBERY-COMMERCIAL,Oakland City,5
RAPE,Leila Valley,5
BURGLARY-NONRES,Colonial Homes,5
ROBBERY-PEDESTRIAN,Ardmore,5
BURGLARY-NONRES,Cross Creek,5
LARCENY-FROM VEHICLE,Mt. Gilead Woods,5
BURGLARY-NONRES,Arlington Estates,5
ROBBERY-PEDESTRIAN,Atkins Park,5
ROBBERY-RESIDENCE,Peachtree Heights West,5
LARCENY-NON VEHICLE,Mellwood,5
LARCENY-FROM VEHICLE,Niskey Lake,5
HOMICIDE,Washington Park,5
AGG ASSAULT,Channing Valley,5
RAPE,Custer/McDonough/Guice,5
RAPE,Hunter Hills,5
ROBBERY-COMMERCIAL,Thomasville Heights,5
HOMICIDE,South Atlanta,5
LARCENY-FROM VEHICLE,Regency Trace,5
ROBBERY-RESIDENCE,Capitol View Manor,5
AGG ASSAULT,Lake Claire,5
ROBBERY-COMMERCIAL,Ashview Heights,5
AUTO THEFT,Ivan Hill,5
ROBBERY-PEDESTRIAN,Springlake,5
HOMICIDE,Carroll Heights,5
BURGLARY-RESIDENCE,Mt. Paran Parkway,5
AUTO THEFT,Mellwood,5
RAPE,Venetian Hills,5
RAPE,Buckhead Forest,5
ROBBERY-PEDESTRIAN,West Manor,5
AUTO THEFT,Westover Plantation,5
RAPE,Blandtown,5
BURGLARY-NONRES,Mt. Paran/Northside,5
BURGLARY-NONRES,Oakland,5
RAPE,Berkeley Park,5
RAPE,Rosedale Heights,5
AGG ASSAULT,Butner/Tell,5
ROBBERY-RESIDENCE,Cabbagetown,5
ROBBERY-RESIDENCE,Capitol Gateway,5
ROBBERY-PEDESTRIAN,Ridgedale Park,5
AUTO THEFT,Arden/Habersham,5
ROBBERY-COMMERCIAL,Benteen Park,5
LARCENY-NON VEHICLE,East Ardley Road,5
AUTO THEFT,Fairburn Tell,5
ROBBERY-RESIDENCE,Hills Park,5
BURGLARY-NONRES,Ivan Hill,5
ROBBERY-PEDESTRIAN,Midwest Cascade,5
ROBBERY-RESIDENCE,Joyland,5
ROBBERY-COMMERCIAL,Atlanta University Center,5
ROBBERY-PEDESTRIAN,Heritage Valley,4
AGG ASSAULT,Collier Hills,4
HOMICIDE,Fairburn Heights,4
BURGLARY-RESIDENCE,Atlanta Industrial Park,4
AUTO THEFT,Westminster/Milmar,4
AGG ASSAULT,Colonial Homes,4
RAPE,East Lake,4
AGG ASSAULT,Ben Hill Forest,4
RAPE,Joyland,4
RAPE,Fairburn Mays,4
LARCENY-FROM VEHICLE,Bankhead Courts,4
LARCENY-FROM VEHICLE,Ben Hill Forest,4
AUTO THEFT,Old Fairburn Village,4
RAPE,Lakewood,4
HOMICIDE,Ben Hill Pines,4
LARCENY-FROM VEHICLE,Boulder Park,4
ROBBERY-RESIDENCE,Blair Villa/Poole Creek,4
ROBBERY-RESIDENCE,Brookhaven,4
ROBBERY-PEDESTRIAN,Magnum Manor,4
ROBBERY-RESIDENCE,Carver Hills,4
ROBBERY-RESIDENCE,Cross Creek,4
AGG ASSAULT,Brookwood Hills,4
AUTO THEFT,Wyngate,4
BURGLARY-NONRES,Ardmore,4
ROBBERY-PEDESTRIAN,Chastain Park,4
AUTO THEFT,Georgia Tech,4
ROBBERY-RESIDENCE,North Buckhead,4
ROBBERY-RESIDENCE,Norwood Manor,4
AUTO THEFT,Hanover West,4
HOMICIDE,Norwood Manor,4
AUTO THEFT,Huntington,4
BURGLARY-NONRES,English Park,4
AUTO THEFT,Fort McPherson,4
AUTO THEFT,Kingswood,4
ROBBERY-PEDESTRIAN,Briar Glen,4
RAPE,Buckhead Village,4
HOMICIDE,Reynoldstown,4
ROBBERY-RESIDENCE,Lincoln Homes,4
AUTO THEFT,Lake Estates,4
HOMICIDE,Summerhill,4
HOMICIDE,Fort Valley,4
ROBBERY-RESIDENCE,Penelope Neighbors,4
HOMICIDE,Virginia Highland,4
BURGLARY-RESIDENCE,Memorial Park,4
AGG ASSAULT,Audobon Forest,4
AGG ASSAULT,Argonne Forest,4
HOMICIDE,Carver Hills,4
AGG ASSAULT,High Point,4
ROBBERY-COMMERCIAL,Ridgedale Park,4
LARCENY-FROM VEHICLE,Mellwood,4
BURGLARY-NONRES,Carver Hills,4
LARCENY-NON VEHICLE,Woodfield,4
ROBBERY-COMMERCIAL,Kings Forest,4
BURGLARY-NONRES,Brookhaven,4
RAPE,Orchard Knob,4
AGG ASSAULT,Ridgewood Heights,4
ROBBERY-COMMERCIAL,English Park,4
ROBBERY-COMMERCIAL,Elmco Estates,4
LARCENY-NON VEHICLE,Ben Hill Forest,4
ROBBERY-RESIDENCE,Virginia Highland,4
RAPE,Peachtree Park,4
LARCENY-NON VEHICLE,Briar Glen,4
AGG ASSAULT,Cascade Green,4
AGG ASSAULT,Mellwood,4
ROBBERY-RESIDENCE,Westwood Terrace,4
LARCENY-NON VEHICLE,Collier Hills North,4
ROBBERY-COMMERCIAL,Ardmore,4
LARCENY-NON VEHICLE,Fernleaf,4
RAPE,Wilson Mill Meadows,4
RAPE,West Lake,4
RAPE,Washington Park,4
RAPE,Virginia Highland,4
RAPE,Piedmont Heights,4
AGG ASSAULT,Hills Park,4
AGG ASSAULT,Huntington,4
RAPE,Reynoldstown,4
LARCENY-NON VEHICLE,Harvel Homes Community,4
AGG ASSAULT,Whittier Mill Village,4
BURGLARY-NONRES,Chattahoochee,4
AGG ASSAULT,Wildwood Forest,4
HOMICIDE,Fairburn,3
HOMICIDE,Edgewood,3
RAPE,East Chastain Park,3
ROBBERY-COMMERCIAL,Carey Park,3
RAPE,Polar Rock,3
AGG ASSAULT,Druid Hills,3
AGG ASSAULT,Green Acres Valley,3
RAPE,Lenox,3
ROBBERY-COMMERCIAL,Brookview Heights,3
ROBBERY-RESIDENCE,Ben Hill Pines,3
ROBBERY-PEDESTRIAN,Meadowbrook Forest,3
HOMICIDE,Browns Mill Park,3
HOMICIDE,Brookview Heights,3
AGG ASSAULT,Oakland,3
LARCENY-NON VEHICLE,Tampa Park,3
BURGLARY-NONRES,Wesley Battle,3
RAPE,Monroe Heights,3
RAPE,Scotts Crossing,3
HOMICIDE,Grant Park,3
RAPE,Fairburn Heights,3
AGG ASSAULT,Peachtree Battle Alliance,3
ROBBERY-PEDESTRIAN,Fairway Acres,3
ROBBERY-PEDESTRIAN,Fairburn Road/Wisteria Lane,3
HOMICIDE,Joyland,3
HOMICIDE,Kings Forest,3
RAPE,Ashley Courts,3
ROBBERY-PEDESTRIAN,Druid Hills,3
BURGLARY-NONRES,Tuxedo Park,3
HOMICIDE,Lincoln Homes,3
LARCENY-FROM VEHICLE,Chattahoochee,3
AGG ASSAULT,Chastain Park,3
ROBBERY-PEDESTRIAN,Mt. Paran/Northside,3
ROBBERY-RESIDENCE,Garden Hills,3
RAPE,Blair Villa/Poole Creek,3
ROBBERY-RESIDENCE,East Chastain Park,3
