crime,neighborhood,count
AUTO THEFT,Poncey-Highland,201
ROBBERY-PEDESTRIAN,Greenbriar,201
ROBBERY-PEDESTRIAN,Harland Terrace,200
BURGLARY-RESIDENCE,Sweet Auburn,200
ROBBERY-PEDESTRIAN,Castleberry Hill,200
LARCENY-FROM VEHICLE,Browns Mill Park,199
LARCENY-FROM VEHICLE,Dixie Hills,198
AGG ASSAULT,Edgewood,197
AUTO THEFT,Lindridge/Martin Manor,197
ROBBERY-PEDESTRIAN,Thomasville Heights,195
AGG ASSAULT,Perkerson,195
AUTO THEFT,Dixie Hills,194
AGG ASSAULT,Dixie Hills,193
AUTO THEFT,Bankhead,192
LARCENY-FROM VEHICLE,Fairburn Mays,191
AUTO THEFT,Berkeley Park,191
BURGLARY-RESIDENCE,Lakewood,190
LARCENY-FROM VEHICLE,East Chastain Park,190
LARCENY-FROM VEHICLE,Capitol View,189
BURGLARY-RESIDENCE,Kings Forest,186
BURGLARY-RESIDENCE,Joyland,186
ROBBERY-PEDESTRIAN,Sweet Auburn,185
AUTO THEFT,Rosedale Heights,185
AUTO THEFT,Carey Park,184
AUTO THEFT,Harris Chiles,184
LARCENY-NON VEHICLE,Garden Hills,184
BURGLARY-RESIDENCE,The Villages at East Lake,184
LARCENY-NON VEHICLE,Peachtree Park,184
LARCENY-NON VEHICLE,Blandtown,182
LARCENY-FROM VEHICLE,The Villages at East Lake,182
AGG ASSAULT,Cascade Avenue/Road,181
ROBBERY-PEDESTRIAN,Atlanta University Center,181
ROBBERY-PEDESTRIAN,Glenrose Heights,181
AUTO THEFT,Pine Hills,181
LARCENY-FROM VEHICLE,West Paces Ferry/Northside,180
BURGLARY-RESIDENCE,Harris Chiles,180
LARCENY-FROM VEHICLE,Harris Chiles,180
AGG ASSAULT,Kirkwood,179
AGG ASSAULT,Browns Mill Park,179
LARCENY-NON VEHICLE,Chosewood Park,178
ROBBERY-PEDESTRIAN,Lakewood Heights,178
AGG ASSAULT,Harland Terrace,177
LARCENY-NON VEHICLE,Washington Park,177
ROBBERY-PEDESTRIAN,Perkerson,176
BURGLARY-RESIDENCE,Home Park,175
LARCENY-NON VEHICLE,Mozley Park,174
AUTO THEFT,Blandtown,173
LARCENY-NON VEHICLE,Woodland Hills,173
LARCENY-NON VEHICLE,Riverside,173
ROBBERY-PEDESTRIAN,Hammond Park,172
AUTO THEFT,Adams Park,172
AUTO THEFT,Underwood Hills,172
ROBBERY-PEDESTRIAN,Southwest,171
BURGLARY-RESIDENCE,Bolton,171
LARCENY-FROM VEHICLE,Blair Villa/Poole Creek,169
AUTO THEFT,Hunter Hills,168
AUTO THEFT,Atlantic Station,168
LARCENY-FROM VEHICLE,Brookwood,168
AGG ASSAULT,Greenbriar,168
ROBBERY-PEDESTRIAN,Adamsville,166
ROBBERY-PEDESTRIAN,Edgewood,165
ROBBERY-PEDESTRIAN,Inman Park,165
BURGLARY-NONRES,Sylvan Hills,164
BURGLARY-RESIDENCE,Mays,164
LARCENY-NON VEHICLE,Loring Heights,163
LARCENY-NON VEHICLE,Brookwood Hills,161
AGG ASSAULT,Fairburn Mays,161
ROBBERY-PEDESTRIAN,Collier Heights,161
AUTO THEFT,Chosewood Park,161
AGG ASSAULT,Florida Heights,160
BURGLARY-RESIDENCE,Ashley Courts,160
LARCENY-FROM VEHICLE,Hunter Hills,156
LARCENY-FROM VEHICLE,Brandon,156
LARCENY-FROM VEHICLE,Florida Heights,155
BURGLARY-RESIDENCE,West Lake,155
LARCENY-FROM VEHICLE,Riverside,154
AUTO THEFT,Kings Forest,153
BURGLARY-RESIDENCE,Perkerson,153
AUTO THEFT,Marietta Street Artery,153
AGG ASSAULT,Ashview Heights,153
AGG ASSAULT,Capitol View,153
BURGLARY-RESIDENCE,Benteen Park,152
LARCENY-FROM VEHICLE,Carey Park,151
LARCENY-FROM VEHICLE,Knight Park/Howell Station,150
LARCENY-FROM VEHICLE,Washington Park,150
BURGLARY-RESIDENCE,Rosedale Heights,150
BURGLARY-NONRES,Lindridge/Martin Manor,149
BURGLARY-NONRES,Grant Park,149
ROBBERY-PEDESTRIAN,Grant Park,149
AGG ASSAULT,Atlanta University Center,149
AGG ASSAULT,Grant Park,149
AGG ASSAULT,Adair Park,148
LARCENY-FROM VEHICLE,Brookwood Hills,148
AUTO THEFT,Washington Park,146
AUTO THEFT,South Atlanta,146
AUTO THEFT,Loring Heights,145
BURGLARY-NONRES,Grove Park,145
BURGLARY-NONRES,English Avenue,144
LARCENY-FROM VEHICLE,Chosewood Park,144
LARCENY-FROM VEHICLE,Paces,143
LARCENY-NON VEHICLE,Peachtree Hills,143
AGG ASSAULT,Washington Park,143
BURGLARY-NONRES,Piedmont Heights,143
